doi,name,affiliation,publisher
10.7910/dvn/xzqlmv/i727hr,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/jbb7zp,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/omloee,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/6jichc,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/szlw8j,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/92xlmn,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/toux8o,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/baek3u,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ihj2oo,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/j3kdtu,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/pgrblg,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/jymxcn,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/dcr182,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/k4un3u,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ieihsw,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/41pwju,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/q91uw9,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/umayxl,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/fi3wrq,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/hjk3mt,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/dtjefy,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/iei9ab,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ijddcc,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/o4erj0,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/aioaef,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/0xgrtc,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/y1mkgn,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/mkacmb,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/seevhs,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/wio10a,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/jat5at,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/mwuedn,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/yev5rl,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/q5jsba,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/x9rova,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/q1cf0e,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/nqitdh,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/lmwdem,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ug50fk,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/dzto8g,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.22033/esgf/input4mips.1117,"van Marle, Margreet J.E.",Vrije Universiteit Amsterdam (VUA),Earth System Grid Federation
10.22033/esgf/input4mips.10455,"van Marle, Margreet J.E.",Vrije Universiteit Amsterdam (VUA),Earth System Grid Federation
10.22033/esgf/input4mips.1884,"van Marle, Margreet J.E.",Vrije Universiteit Amsterdam (VUA),Earth System Grid Federation
10.22033/esgf/input4mips.1883,"van Marle, Margreet J.E.",Vrije Universiteit Amsterdam (VUA),Earth System Grid Federation
10.17026/dans-23g-ht8x,"Liefting, M",VU University Amsterdam,Data Archiving and Networked Services (DANS)
10.7910/dvn/kpaelv,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/kpaelv/ppo3xd,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/kpaelv/pytuxj,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/ulgs5h/uq4vot,"Poelhekke, Steven","(VU University Amsterdam, De Nederlandsche Bank, OxCarre, CESifo)",Harvard Dataverse
10.7910/dvn/ulgs5h/bpcvqh,"Poelhekke, Steven","(VU University Amsterdam, De Nederlandsche Bank, OxCarre, CESifo)",Harvard Dataverse
10.7910/dvn/ulgs5h/0ddkel,"Poelhekke, Steven","(VU University Amsterdam, De Nederlandsche Bank, OxCarre, CESifo)",Harvard Dataverse
10.7910/dvn/ulgs5h/xlityo,"Poelhekke, Steven","(VU University Amsterdam, De Nederlandsche Bank, OxCarre, CESifo)",Harvard Dataverse
10.7910/dvn/ulgs5h/m5naa3,"Poelhekke, Steven","(VU University Amsterdam, De Nederlandsche Bank, OxCarre, CESifo)",Harvard Dataverse
10.7910/dvn/ulgs5h/gtuumz,"Poelhekke, Steven","(VU University Amsterdam, De Nederlandsche Bank, OxCarre, CESifo)",Harvard Dataverse
10.7910/dvn/ulgs5h/uqacbh,"Poelhekke, Steven","(VU University Amsterdam, De Nederlandsche Bank, OxCarre, CESifo)",Harvard Dataverse
10.7910/dvn/ulgs5h/x8in4x,"Poelhekke, Steven","(VU University Amsterdam, De Nederlandsche Bank, OxCarre, CESifo)",Harvard Dataverse
10.7910/dvn/ulgs5h/bjxxhx,"Poelhekke, Steven","(VU University Amsterdam, De Nederlandsche Bank, OxCarre, CESifo)",Harvard Dataverse
10.7910/dvn/ulgs5h/symn86,"Poelhekke, Steven","(VU University Amsterdam, De Nederlandsche Bank, OxCarre, CESifo)",Harvard Dataverse
10.7910/dvn/ulgs5h/qayywl,"Poelhekke, Steven","(VU University Amsterdam, De Nederlandsche Bank, OxCarre, CESifo)",Harvard Dataverse
10.7910/dvn/ulgs5h,"Poelhekke, Steven","(VU University Amsterdam, De Nederlandsche Bank, OxCarre, CESifo)",Harvard Dataverse
10.5281/zenodo.2476176,"Pracht, Hilde",VU Amsterdam,Zenodo
10.5281/zenodo.2476175,"Pracht, Hilde",VU Amsterdam,Zenodo
10.5281/zenodo.1344104,"Zhang, Chao",VU Amsterdam,Zenodo
10.5281/zenodo.1344105,"Zhang, Chao",VU Amsterdam,Zenodo
10.5281/zenodo.1262053,"Bobbert, Maarten",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.1262052,"Bobbert, Maarten",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.1213293,"Kuhn, Tobias",VU Amsterdam,Zenodo
10.5281/zenodo.1213292,"Kuhn, Tobias",VU Amsterdam,Zenodo
10.5281/zenodo.1187071,"de Graaf, Chris",VU University Amsterdam,Zenodo
10.5281/zenodo.1187072,"de Graaf, Chris",VU University Amsterdam,Zenodo
10.17026/dans-znh-bcg3,"Beek, W.G.J.",VU University Amsterdam,Data Archiving and Networked Services (DANS)
10.4232/1.12921,"Ganzeboom, Harry","VU University Amsterdam, Netherlands",GESIS Data Archive
10.17026/dans-zx6-h97m,"Samur, D.",VU University Amsterdam,Data Archiving and Networked Services (DANS)
10.5281/zenodo.3460310,Petrescu A.M.R.,Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3662371,Petrescu A.M.R.,Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3688391,"Schrammeijer, Bep",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3688392,"Schrammeijer, Bep",Vrije Universiteit Amsterdam,Zenodo
10.18140/flx/1440182,"Dolman, Han",Vrije Universiteit Amsterdam,FluxNet; Vrije Universiteit Amsterdam
10.5281/zenodo.3677736,"Scussolini, Paolo","Institute for Environmental Studies, Vrije Universiteit Amsterdam",Zenodo
10.5281/zenodo.3677737,"Scussolini, Paolo","Institute for Environmental Studies, Vrije Universiteit Amsterdam",Zenodo
10.7910/dvn/b5un8r,"De Geus, Christa",(Vrije universiteit Amsterdam),Harvard Dataverse
10.7910/dvn/b5un8r/hhtnw0,"De Geus, Christa",(Vrije universiteit Amsterdam),Harvard Dataverse
10.5281/zenodo.3665733,"Eilander, Dirk","Institute for Environmental Studies (IVM), Vrije Universiteit Amsterdam",Zenodo
10.5281/zenodo.3665734,"Eilander, Dirk","Institute for Environmental Studies (IVM), Vrije Universiteit Amsterdam",Zenodo
10.5281/zenodo.3633108,IE Bonestroo,Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3633107,IE Bonestroo,Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3633098,IE Bonestroo,Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3633099,IE Bonestroo,Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3627117,"Hengst, Floris Den",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3627118,"Hengst, Floris Den",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3567749,"Giovanopoulos, Christos",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3567750,"Giovanopoulos, Christos",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3576603,"Uta, Alexandru",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3576604,"Uta, Alexandru",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3581237,"Coolen, Bert","Department of Human Movement Sciences, Faculty of Behavioural and Movement Sciences, Vrije Universiteit Amsterdam, Amsterdam Movement Sciences, Van der Boechorststraat 7, 1081 BT Amsterdam, The Netherlands",Zenodo
10.5281/zenodo.3581238,"Coolen, Bert","Department of Human Movement Sciences, Faculty of Behavioural and Movement Sciences, Vrije Universiteit Amsterdam, Amsterdam Movement Sciences, Van der Boechorststraat 7, 1081 BT Amsterdam, The Netherlands",Zenodo
10.17026/dans-xbh-p5ht,"Boomsma, D.I.","Netherlands Twin Register, dept Biological Psychology , Vrije Universiteit Amsterdam",Data Archiving and Networked Services (DANS)
10.5281/zenodo.3523940,"Giovanopoulos, Christos",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3523941,"Giovanopoulos, Christos",Vrije Universiteit Amsterdam,Zenodo
10.15139/s3/ettstr,"Rusbult, Caryl E.",(Vrije University),UNC Dataverse
10.5281/zenodo.3552820,"Eilander, Dirk",Institute for Environmental Studies - Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3258006,"Eilander, Dirk",Institute for Environmental Studies - Vrije Universiteit Amsterdam,Zenodo
10.5880/crc1211db.30,"Kuiper, Klaudia","Vrije Universiteit Amsterdam, Department of Earth Science",CRC1211 Database (CRC1211DB)
10.18160/tdn9-tv55,"Meesters, Antoon","Vrije Universiteit Amsterdam, Amsterdam, The Netherlands",ICOS-ERIC - Carbon Portal
10.7910/dvn/ygtu5t,"Koster, Hans",(Vrije Universiteit Amsterdam),Harvard Dataverse
10.7910/dvn/ygtu5t/rdxnqf,"Koster, Hans",(Vrije Universiteit Amsterdam),Harvard Dataverse
10.7910/dvn/ygtu5t/7mfu3w,"Koster, Hans",(Vrije Universiteit Amsterdam),Harvard Dataverse
10.7910/dvn/ygtu5t/lndpop,"Koster, Hans",(Vrije Universiteit Amsterdam),Harvard Dataverse
10.7910/dvn/ygtu5t/are5tv,"Koster, Hans",(Vrije Universiteit Amsterdam),Harvard Dataverse
10.7910/dvn/ygtu5t/wpf6sm,"Koster, Hans",(Vrije Universiteit Amsterdam),Harvard Dataverse
10.7910/dvn/ygtu5t/h1qslj,"Koster, Hans",(Vrije Universiteit Amsterdam),Harvard Dataverse
10.7910/dvn/ygtu5t/9hnaet,"Koster, Hans",(Vrije Universiteit Amsterdam),Harvard Dataverse
10.7910/dvn/ygtu5t/ivx7au,"Koster, Hans",(Vrije Universiteit Amsterdam),Harvard Dataverse
10.7910/dvn/ygtu5t/zo8jy2,"Koster, Hans",(Vrije Universiteit Amsterdam),Harvard Dataverse
10.7910/dvn/ygtu5t/xqpbtx,"Koster, Hans",(Vrije Universiteit Amsterdam),Harvard Dataverse
10.7910/dvn/ygtu5t/qixnyv,"Koster, Hans",(Vrije Universiteit Amsterdam),Harvard Dataverse
10.7910/dvn/ygtu5t/5lzp9z,"Koster, Hans",(Vrije Universiteit Amsterdam),Harvard Dataverse
10.7910/dvn/ygtu5t/gq73oi,"Koster, Hans",(Vrije Universiteit Amsterdam),Harvard Dataverse
10.5281/zenodo.3460311,Petrescu A.M.R.,Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3475120,"Tiggeloven, Timothy",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3475119,"Tiggeloven, Timothy",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3345673,"Raad, Joe",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3345674,"Raad, Joe",Vrije Universiteit Amsterdam,Zenodo
10.17026/dans-x67-gr7b,"Claassens, J",Vrije Universiteit Amsterdam,Data Archiving and Networked Services (DANS)
10.5281/zenodo.3265138,"Meroño-Peñuela, Albert",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3265139,"Meroño-Peñuela, Albert",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3258007,"Eilander, Dirk",Institute for Environmental Studies - Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3227976,"Beek, Wouter",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.3227975,"Beek, Wouter",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.2671651,"De Graaf, Myriam Lauren","Department of Human Movement Sciences, Vrije Universiteit Amsterdam, Amsterdam Movement Sciences, Amsterdam, The Netherlands",Zenodo
10.5281/zenodo.2671650,"De Graaf, Myriam Lauren","Department of Human Movement Sciences, Vrije Universiteit Amsterdam, Amsterdam Movement Sciences, Amsterdam, The Netherlands",Zenodo
10.5281/zenodo.1480773,"Jensen, Christian Højgaard","Vrije Universiteit, Amsterdam",Zenodo
10.7910/dvn/dagnlw,"Theije, Mario De",(Vrije Universiteit Amsterdam),Harvard Dataverse
10.5281/zenodo.1468183,"Botman, Dennis","Systems Bioinformatics/AIMMS, Vrije Universiteit Amsterdam, De Boelelaan 1085, 1081 HV Amsterdam, The Netherlands.",Zenodo
10.5281/zenodo.1468182,"Botman, Dennis","Systems Bioinformatics/AIMMS, Vrije Universiteit Amsterdam, De Boelelaan 1085, 1081 HV Amsterdam, The Netherlands.",Zenodo
10.25345/c53c88,"Slagboom, Julien",Vrije Universiteit Amsterdam,MassIVE
10.25345/c5bw3q,"Slagboom, Julien",Vrije Universiteit Amsterdam,MassIVE
10.17026/dans-26t-hhv7,"Peursen, W.T. Van","Faculty of Theology, Vrije Universiteit Amsterdam",Data Archiving and Networked Services (DANS)
10.17026/dans-27x-a4gt,"Hollander, A.A. Den",Vrije Universiteit Amsterdam,Data Archiving and Networked Services (DANS)
10.5281/zenodo.1973099,"Beek, Wouter",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.1973098,"Beek, Wouter",Vrije Universiteit Amsterdam,Zenodo
10.7910/dvn/s4iz8k/6hc1cl,"Schoonvelde, Martijn",(Vrije Universiteit),Harvard Dataverse
10.5281/zenodo.1479491,"Talstra, Eep",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.1479485,"Talstra, Eep",Vrije Universiteit Amsterdam,Zenodo
10.17026/dans-zwj-gkeu,"Klandermans, P.G.",Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam
10.5281/zenodo.1472344,"Dumitrache, Anca",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.1472345,"Dumitrache, Anca",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.1472330,"Dumitrache, Anca",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.1472329,"Dumitrache, Anca",Vrije Universiteit Amsterdam,Zenodo
10.7910/dvn/s4iz8k/grjpp4,"Schoonvelde, Martijn",(Vrije Universiteit),Harvard Dataverse
10.7910/dvn/s4iz8k,"Schoonvelde, Martijn",(Vrije Universiteit),Harvard Dataverse
10.7910/dvn/s4iz8k/mlebyc,"Schoonvelde, Martijn",(Vrije Universiteit),Harvard Dataverse
10.7910/dvn/s4iz8k/rqopl9,"Schoonvelde, Martijn",(Vrije Universiteit),Harvard Dataverse
10.7910/dvn/s4iz8k/gnszuw,"Schoonvelde, Martijn",(Vrije Universiteit),Harvard Dataverse
10.7910/dvn/s4iz8k/eqdm7h,"Schoonvelde, Martijn",(Vrije Universiteit),Harvard Dataverse
10.7910/dvn/s4iz8k/gn5qok,"Schoonvelde, Martijn",(Vrije Universiteit),Harvard Dataverse
10.17026/dans-xvx-p7yh,"Groenhuijzen, M.R.",Vrije Universiteit Amsterdam,Data Archiving and Networked Services (DANS)
10.17026/dans-zub-cav2,"Faure, R.M.P",Vrije Universiteit Amsterdam,Data Archiving and Networked Services (DANS)
10.17026/dans-24m-uj9r,"Tjew-A-Sin, M.T.",Vrije Universiteit Amsterdam,Data Archiving and Networked Services (DANS)
10.17026/dans-zug-4hcr,"Lapperre, R.E.",Vrije Universiteit Amsterdam,Data Archiving and Networked Services (DANS)
10.5281/zenodo.1215904,"Grua, Eoin Martino",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.1215905,"Grua, Eoin Martino",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.1185196,"Kerkman, Jennifer","Department of Human Movement Sciences, Faculty of Behavioural and Movement Sciences, Vrije Universiteit Amsterdam, the Netherlands",Zenodo
10.5281/zenodo.1185195,"Kerkman, Jennifer","Department of Human Movement Sciences, Faculty of Behavioural and Movement Sciences, Vrije Universiteit Amsterdam, the Netherlands",Zenodo
10.17026/dans-xkk-f29b,"Woolderink, H.A.G.",Vrije Universiteit Amsterdam,Data Archiving and Networked Services (DANS)
10.17026/dans-xfj-fy7d,"Opmeer, M.",Vrije Universiteit Amsterdam,Data Archiving and Networked Services (DANS)
10.5281/zenodo.584139,"Muis, Sanne","Institute for Environmental Studies (IVM), Vrije Universiteit Amsterdam, Amsterdam, The Netherlands",Zenodo
10.5281/zenodo.593347,"Dumitrache, Anca",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.268416,"Arimont, Marta",Vrije Universiteit Amsterdam,Zenodo
10.17026/dans-x6h-6qqt,"Kleppe, M.",Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam
10.5281/zenodo.579603,"Meroño-Peñuela, Albert",Vrije Universiteit Amsterdam,Zenodo
10.17182/hepdata.32705.v1/t12,"Blokzijl, R.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.32705.v1/t13,"Blokzijl, R.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.32705.v1/t14,"Blokzijl, R.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.32705.v1/t9,"Blokzijl, R.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.32705.v1/t7,"Blokzijl, R.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.32705.v1/t8,"Blokzijl, R.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.32705.v1/t10,"Blokzijl, R.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.32705.v1/t11,"Blokzijl, R.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.32705.v1/t5,"Blokzijl, R.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.32705.v1/t6,"Blokzijl, R.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.32705.v1/t4,"Blokzijl, R.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.32705.v1/t3,"Blokzijl, R.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.32705.v1/t1,"Blokzijl, R.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.32705.v1/t2,"Blokzijl, R.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.19658.v1/t3,"Kester, L.J.H.M.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.19658.v1/t2,"Kester, L.J.H.M.","Vrije U., Amsterdam",HEPData
10.17182/hepdata.19658.v1/t1,"Kester, L.J.H.M.","Vrije U., Amsterdam",HEPData
10.5281/zenodo.58104,"Vass, Marton",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.60790,"de Graaf, Chris",Vrije Universiteit Amsterdam,Zenodo
10.17026/dans-xpk-wj5w,"Meroño Peñuela, A.",Vrije Universiteit Amsterdam,Data Archiving and Networked Services (DANS)
10.5281/zenodo.58160,"Arimont, Marta",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.50676,"Dumitrache, Anca",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.50222,"Dumitrache, Anca",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.45774,"Jansen, Chimed",Vrije Universiteit Amsterdam,Zenodo
10.5281/zenodo.45414,"van Linden, Oscar P. J.",Vrije Universiteit Amsterdam,Zenodo
10.17026/dans-xxr-h6dv,"Tilburg, T.G. Van","Vrije Universiteit Amsterdam * Amsterdam, Sociaal-culturele Wetenschappen (primary investigator)",Data Archiving and Networked Services (DANS)
